Burden,Burden_error,Production,Production_error,Authors,Year,Type
337,23,4877,853,Young et al.,2013,mod
323,NaN,NaN,NaN,Archibald et al.,2011,mod
330,NaN,4876,NaN,Kawase et al.,2011,mod
312,NaN,4289,NaN,Huijnen et al.,2010,mod
334,NaN,3826,NaN,Zeng et al.,2010,mod
324,NaN,4870,NaN,Wild and Palmer,2008,mod
314,NaN,NaN,NaN,Zeng et al.,2008,mod
319,NaN,4487,NaN,Wu et al.,2007,mod
372,NaN,5042,NaN,Horowitz,2006,mod
349,NaN,4384,NaN,Liao et al.,2006,mod
344,39,5110,606,Stevenson et al.,2006,mod
314,33,4465,514,Wild,2007,mod
333,NaN,NaN,NaN,Fortuin and Kelder,1998,obs
327,NaN,NaN,NaN,Logan,1999,obs
325,NaN,NaN,NaN,Ziemke et al.,2011,obs
335,16,NaN,NaN,Osterman et al.,2008,obs